,Plant Name1,Season1,Plant Type1_x,Blooms,Zones,Sun Needs,Soil Needs,Features,Picture Link,State,Plant Name2,Plant Type1_y,Plant type,Season 2,Picture Link1,Picture Link2
28,Caladium,Spring,Flower,Early Spring ,10 --11,Partial Shade / Full Shade,"Well-drained, Damp",Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/caladium-673899.jpg,,,,,,,
29,Calendula,Spring,Flower,Late Spring ,9 --11,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/marigold-437818.jpg,,,,,,,
30,California Poppy,Summer,Flower,Early Summer ,5 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/eschscholzia-californica-167272.jpg,,,,,,,
31,Canterbury Bells,Spring,Flower,Late Spring ,5 --8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/campanula-361364.jpg,,,,,,,
32,Cardinal Flower,Summer,Flower, Mid Summer,2 --9,Partial Shade,Damp,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cardinal-flower-86592.jpg,,,,,,,
33,Carnation,Spring,Flower,Early Spring ,3 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/carnation-833383.jpg,,,,,,,
34,Castor Bean,Summer,Flower, Mid Summer,8 --10,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/red-castor-bean-leaf-941839.jpg,,,,,,,
35,Catmint,Summer,Flower,Early Summer,3 --8,Full Sun / Partial Shade,Dry,Attracts beneficial insects,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/8929943172-e96c6bcd6f.jpg,,,,,,,
36,Celosia,Summer,Flower, Mid Summer,2 --11,Full Sun / Partial Shade,"Well-drained, High fertility",Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/celosia-731437.jpg,,,,,,,
37,Chives,Spring,Flower,Late Spring,3 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/chives-810932.jpg,,,,,,,
38,Chrysanthemum,Summer,Flower, Mid Summer,3 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/chrysanthemum-1051770.jpg,,,,,,,
39,Clary Sage,Spring,Flower,Late Spring ,5 --11,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/salvia-pratensis-839488.jpg,,,,,,,
40,Cleome,Summer,Flower,Mid Summer,4 --11,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/spider-flower-55027.jpg,,,,,,,
41,Coleus,Summer,Flower,Mid Summer,2 --11,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nature-686480.jpg,,,,,,,
42,Columbine,Spring,Flower,Mid Spring ,3 --8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/columbine-831740.jpg,,,,,,,
43,Comfrey,Spring,Flower,Late Spring ,3 --9,Full Sun / Partial Shade,Damp,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/rough-comfrey-115169.jpg,,,,,,,
44,Coneflower,Summer,Flower,Mid Summer,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/coneflowers-481005.jpg,,,,,,,
45,Coreopsis,Summer,Flower,Late Summer ,3 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/coreopsis-70754.jpg,,,,,,,
46,Corydalis,Summer,Flower,Early Summer ,5 --7,Partial Shade / Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/corydalis-ambigua.jpg,,,,,,,
47,Cosmos,Summer,Flower, Mid Summer,2 --11,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cosmos-flower-433424.jpg,,,,,,,
48,Crocus,Spring,Flower,Early Spring,3 --8,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/spring-678225.jpg,,,,,,,
49,Crown Imperial,Spring,Flower,Mid Spring,5 --9,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/imperial-crown-52127.jpg,,,,,,,
50,Cushion Spurge,Spring,Flower,Mid Spring ,4 --8 ,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/euphorbia-epithymoides-002.jpg,,,,,,,
51,Cyclamen,Spring,Flower,Early Spring,5 --9,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cyclamen-194431.jpg,,,,,,,
52,Daffodil,Spring,Flower,Entire Spring,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-661585.jpg,,,,,,,
53,Dahlia,Summer,Flower, Mid Summer,8 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-197343.jpg,,,,,,,
54,Daisy,Summer,Flower, Mid Summer,2 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/daisies-276112.jpg,,,,,,,
55,Dame’s Rocket,Spring,Flower,Late Spring ,4 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dames-rocket2.jpg,,,,,,,
56,Delphinium,Summer,Flower,Early Summer ,3 --7,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/delphinium-456347.jpg,,,,,,,
57,Diascia,Summer,Flower,Early Summer ,8 --9,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nature-679346.jpg,,,,,,,
58,Dusty Miller,Summer,Flower,Late Summer ,8 --10,Full Sun / Partial Shade,Well-drained,Good for pressed flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/plant-93460.jpg,,,,,,,
59,Dutchman's Breeches,Spring,Flower,Mid Spring,3 --8,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dicentra-cucullaria.jpg,,,,,,,
60,Epimedium,Spring,Flower,Mid Spring ,4 --8,Partial Shade / Full Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/elfenblume-epimedium-x-versicolor.jpg,,,,,,,
61,Evergreen Candytuft ,Spring,Flower,Mid Spring,5 --9,Full Sun,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/evergreen-candytuft-324393.jpg,,,,,,,
62,Fennel,Summer,Flower,Mid Summer,4 --9,Full Sun,Well-drained,Attracts beneficial insects,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/fennel-223059.jpg,,,,,,,
63,Fountain Grass,Spring,Flower,Late Spring ,6 --11,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/purple-fountain-grass-7797.jpg,,,,,,,
64,Foxglove,Spring,Flower,Late Spring ,4 --8,All Sun Types,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/thimble-397911.jpg,,,,,,,
65,Gaillardia,Summer,Flower,Early Summer ,5 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/gaillardia-370546.jpg,,,,,,,
66,Gas Plant,Spring,Flower,Late Spring ,3 --8,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/dictamnus-169656.jpg,,,,,,,
67,Gaura,Summer,Flower,Mid Summer,5 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/gaura-lindheimeri-cherry-brandy-2.jpg,,,,,,,
68,Gazania,Summer,Flower,Early Summer ,8 --10,Full Sun,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/gazanie-499110.jpg,,,,,,,
69,Geranium,Summer,Flower,Early Summer ,4 --8,All Sun Types,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/cranesbill-141576.jpg,,,,,,,
70,Geum,Spring,Flower,Late Spring ,5 --8,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-743753.jpg,,,,,,,
71,Globe Thistle,Summer,Flower, Mid Summer,4--9,Full Sun,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/globe-thistle-53355.jpg,,,,,,,
72,Glory of the Snow,Spring,Flower,Early Spring,4 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/star-hyacinth-682369.jpg,,,,,,,
73,Goatsbeard,Summer,Flower,Entire Summer,3 --9,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/forests-geibart-167247.jpg,,,,,,,
74,Golden Marguerite,Summer,Flower,Entire Summer,3 --7,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/golden-yellow-flowers-957729.jpg,,,,,,,
75,Gomphrena,Summer,Flower, Mid Summer,7 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/globe-amaranth-969222.jpg,,,,,,,
76,Heliotrope,Summer,Flower, Mid Summer,10 --11,All Sun Types,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/valerian-413021.jpg,,,,,,,
77,Hepatica,Spring,Flower,Early Spring ,5 --8,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hepatica-748456.jpg,,,,,,,
78,Hollyhock,Summer,Flower,Mid Summer,3 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/stock-rose-380072.jpg,,,,,,,
79,Hosta,Summer,Flower,Entire Summer,3 --9,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hosta-837182.jpg,,,,,,,
80,Hyacinth,Summer,Flower,Mid Summer,4 --9,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hyacinth-21687.jpg,,,,,,,
81,Hyssop,Summer,Flower, Mid Summer,3 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hyssopus-officinalis-002.jpg,,,,,,,
82,Impatiens,Summer,Flower,Early Summer ,8 --10,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/impatiens-666480.jpg,,,,,,,
83,Iris,Spring,Flower,Early Spring ,3 --9,All Sun Types,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/iris-639410.jpg,,,,,,,
84,Jack-in-the-Pulpit,Spring,Flower,Mid Spring ,4 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/jack-in-the-pulpit-907415.jpg,,,,,,,
85,Jacob’s Ladder,Spring,Flower,Late Spring ,3 --9,All Sun Types,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/vogelaeuglein-167240.jpg,,,,,,,
86,Lady's Mantle,Summer,Flower,Entire Summer,3 --7,All Sun Types,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ladys-mantle-alchemilla-vulgaris-2816px.jpg,,,,,,,
87,Lantana,Summer,Flower,Mid Summer,2 --11,Full Sun,Well-drained,Tolerates frost,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lantana-699796.jpg,,,,,,,
88,Lavender,Summer,Flower,Entire Summer,5 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lavender-810522.jpg,,,,,,,
89,Lavender Cotton,Summer,Flower, Mid Summer,6 --8,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lavender-cotton-341934.jpg,,,,,,,
90,Leadwort,Summer,Flower,Late Summer ,5 --8,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-195967.jpg,,,,,,,
91,Lemon Balm,Summer,Flower,Early Summer,3 --7,Full Sun / Partial Shade,Well-drained,Attracts bees,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lemon-balm-787626.jpg,,,,,,,
92,Lily,Spring,Flower,Entire Spring ,4 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lily.jpg,,,,,,,
93,Lobelia,Summer,Flower,Early Summer,2 --10,Full Sun / Partial Shade,Well-drained,Attracts butterflies,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/lobelia-777674.jpg,,,,,,,
94,Lupine,Summer,Flower,Entire Summer,3 --9,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/beautiful-2223.jpg,,,,,,,
95,Maiden Pink,Spring,Flower,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/maiden-pink-546015.jpg,,,,,,,
96,Malva,Summer,Flower,Entire Summer,4 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-774761.jpg,,,,,,,
97,Marigold,Summer,Flower,Early Summer,2 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-669579.jpg,,,,,,,
98,Mazus,Spring,Flower,Late Spring ,3 --9,Full Sun / Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mazus-pumilus-flower.jpg,,,,,,,
99,Mirabilis,Summer,Flower, Mid Summer,7 --11,Full Sun / Partial Shade,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/mirabilis-jalapa-402433.jpg,,,,,,,
100,Moonflower,Summer,Flower,Early Summer ,10 --11,Full Sun,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/ipomoea-alba.jpg,,,,,,,
101,Morning Glory,Summer,Flower,Early Summer,2 --11,Full Sun,Well-drained,Attracts hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/sky-blue-morning-glory-8793.jpg,,,,,,,
102,Nasturtium,Summer,Flower,Early Summer ,9 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nasturtium-686987.jpg,,,,,,,
103,Nierembergia,Summer,Flower, Mid Summer,7 --10,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/nierembergia-frutescens.jpg,,,,,,,
104,Orchid,Spring,Flower,Early Spring ,2 --8,Full Sun / Partial Shade,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/orchid-648410.jpg,,,,,,,
105,Osteospermum,Summer,Flower, Mid Summer,9 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/african-daisy-338121.jpg,,,,,,,
106,Pansy,Spring,Flower,Entire Spring,2 --11,Full Sun / Partial Shade,Well-drained,Tolerates frost,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/pansy-826463.jpg,,,,,,,
107,Pearly Everlasting,Summer,Flower, Mid Summer,3 --8,Full Sun / Partial Shade,Damp,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/14939471371-f714900331.jpg,,,,,,,
108,Perennial Flax,Summer,Flower,Entire Summer,5 --9,Full Sun,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/linum-narbonense-flor.jpg,,,,,,,
109,Periwinkle,Spring,Flower,Mid Spring ,2 --11,Full Sun / Partial Shade,Droughty,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/periwinkle-166913.jpg,,,,,,,
110,Petunia,Summer,Flower,Early Summer ,8 --11,Full Sun,Well-drained,Attracts butterflies and hummingbirds,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/petunia-662536.jpg,,,,,,,
111,Pincushion Flower,Summer,Flower,Early Summer,3 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/field-scabious-167397.jpg,,,,,,,
112,Polka Dot Plant,Summer,Flower,Mid Summer,10 --12,Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/hypoestes-phyllostachya1.jpg,,,,,,,
113,Primrose,Spring,Flower,Entire Spring,3 --8,Partial Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-737864.jpg,,,,,,,
114,Ranunculus,Spring,Flower,Early Spring ,4 --7,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-663507.jpg,,,,,,,
115,Red Valerian,Summer,Flower,Mid Summer,5 --8,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/centranthus-ruber-884234.jpg,,,,,,,
116,Rock Soapwort,Spring,Flower,Early Spring ,2 --9,Full Sun,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/caryophillaceae-saponaria-ocymoides-2.jpg,,,,,,,
117,Rose,Spring,Flower,Late Spring ,2 --11,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/rose-113735.jpg,,,,,,,
118,Rue,Summer,Flower, Mid Summer,4 --9,Full Sun / Partial Shade,Well-drained,Good for pressed flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/meadow-rue-909022.jpg,,,,,,,
119,Sanvitalia,Summer,Flower,Early Summer ,10 --11,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flower-679333.jpg,,,,,,,
120,Scarlet Sage,Summer,Flower, Mid Summer,3 --10,Full Sun / Partial Shade,Well-drained,Deer resistant,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/fire-sage-228379.jpg,,,,,,,
121,Sea Lavender,Summer,Flower, Mid Summer,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/winged-beach-lilac-375590.jpg,,,,,,,
122,Sea Thrift,Spring,Flower,Late Spring ,4 --8,Full Sun,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/flowers-14448.jpg,,,,,,,
123,Shirley Poppy,Spring,Flower,Late Spring ,3 --9,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/poppies-381612.jpg,,,,,,,
124,Shooting Star,Spring,Flower,Late Spring ,4 --8,Partial Shade / Full Shade,Well-drained,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/372840525-f193108fe4.jpg,,,,,,,
125,Silvermound,Summer,Flower,Mid Summer, 4 --8,Full Sun / Partial Shade,Well-drained,Tolerates heat,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/artemisia-schmidtiana-parc-de-bercy.jpg,,,,,,,
126,Skunk Cabbage,Spring,Flower,Early Spring ,4 --9,Full Sun / Partial Shade,Damp,Non-invasive,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yellow-skunk-cabbage-605523.jpg,,,,,,,
127,Snapdragon,Summer,Flower, Mid Summer,9 --10,Full Sun,Well-drained,Good for cut flowers,https://www.proflowers.com/blog/wp-content/plugins/pf-flowertypes/image/yellow-144061.jpg,,,,,,,
